company_code,report_period,risk_probability,risk_rank,risk_level
000673.SZ,20211231,0.25,1,A-极高
000673.SZ,20220331,0.25,2,A-极高
002121.SZ,20220331,0.25,3,A-极高
002175.SZ,20220331,0.25,4,A-极高
002622.SZ,20211231,0.25,5,A-极高
002742.SZ,20241231,0.25,6,A-极高
002770.SZ,20210331,0.25,7,A-极高
002781.SZ,20221231,0.25,8,A-极高
600122.SH,20230331,0.25,9,A-极高
000005.SZ,20220331,0.16666666666666666,10,A-极高
000005.SZ,20220630,0.16666666666666666,11,A-极高
000005.SZ,20221231,0.16666666666666666,12,A-极高
000409.SZ,20210331,0.16666666666666666,13,A-极高
000410.SZ,20211231,0.16666666666666666,14,A-极高
000410.SZ,20220331,0.16666666666666666,15,A-极高
000502.SZ,20210331,0.16666666666666666,16,A-极高
000502.SZ,20220331,0.16666666666666666,17,A-极高
000673.SZ,20210331,0.16666666666666666,18,A-极高
000679.SZ,20210331,0.16666666666666666,19,A-极高
000679.SZ,20211231,0.16666666666666666,20,A-极高
000697.SZ,20230930,0.16666666666666666,21,A-极高
000697.SZ,20240331,0.16666666666666666,22,A-极高
000796.SZ,20230331,0.16666666666666666,23,A-极高
000889.SZ,20220930,0.16666666666666666,24,A-极高
000889.SZ,20230630,0.16666666666666666,25,A-极高
000889.SZ,20231231,0.16666666666666666,26,A-极高
000889.SZ,20240331,0.16666666666666666,27,A-极高
000918.SZ,20230331,0.16666666666666666,28,A-极高
000980.SZ,20210930,0.16666666666666666,29,A-极高
000980.SZ,20211231,0.16666666666666666,30,A-极高
002005.SZ,20210331,0.16666666666666666,31,A-极高
002005.SZ,20210930,0.16666666666666666,32,A-极高
002005.SZ,20220630,0.16666666666666666,33,A-极高
002005.SZ,20221231,0.16666666666666666,34,A-极高
002005.SZ,20230331,0.16666666666666666,35,A-极高
002121.SZ,20210331,0.16666666666666666,36,A-极高
002121.SZ,20211231,0.16666666666666666,37,A-极高
002146.SZ,20211231,0.16666666666666666,38,A-极高
002146.SZ,20220331,0.16666666666666666,39,A-极高
002146.SZ,20240331,0.16666666666666666,40,A-极高
002159.SZ,20221231,0.16666666666666666,41,A-极高
002159.SZ,20230331,0.16666666666666666,42,A-极高
002168.SZ,20210331,0.16666666666666666,43,A-极高
002168.SZ,20211231,0.16666666666666666,44,A-极高
002168.SZ,20220331,0.16666666666666666,45,A-极高
002175.SZ,20210630,0.16666666666666666,46,A-极高
002175.SZ,20211231,0.16666666666666666,47,A-极高
002175.SZ,20220630,0.16666666666666666,48,A-极高
002217.SZ,20230331,0.16666666666666666,49,A-极高
002310.SZ,20240331,0.16666666666666666,50,A-极高
002316.SZ,20211231,0.16666666666666666,51,A-极高
002316.SZ,20220331,0.16666666666666666,52,A-极高
002316.SZ,20221231,0.16666666666666666,53,A-极高
002329.SZ,20240331,0.16666666666666666,54,A-极高
002383.SZ,20220331,0.16666666666666666,55,A-极高
002387.SZ,20220331,0.16666666666666666,56,A-极高
002427.SZ,20210331,0.16666666666666666,57,A-极高
002427.SZ,20211231,0.16666666666666666,58,A-极高
002427.SZ,20220331,0.16666666666666666,59,A-极高
002427.SZ,20220630,0.16666666666666666,60,A-极高
002427.SZ,20221231,0.16666666666666666,61,A-极高
002427.SZ,20230331,0.16666666666666666,62,A-极高
002471.SZ,20210331,0.16666666666666666,63,A-极高
002471.SZ,20210630,0.16666666666666666,64,A-极高
002471.SZ,20220630,0.16666666666666666,65,A-极高
002471.SZ,20220930,0.16666666666666666,66,A-极高
002471.SZ,20230630,0.16666666666666666,67,A-极高
002485.SZ,20221231,0.16666666666666666,68,A-极高
002491.SZ,20240331,0.16666666666666666,69,A-极高
002520.SZ,20230630,0.16666666666666666,70,A-极高
002520.SZ,20240331,0.16666666666666666,71,A-极高
002529.SZ,20210630,0.16666666666666666,72,A-极高
002586.SZ,20210331,0.16666666666666666,73,A-极高
002586.SZ,20210630,0.16666666666666666,74,A-极高
002586.SZ,20220331,0.16666666666666666,75,A-极高
002586.SZ,20231231,0.16666666666666666,76,A-极高
002586.SZ,20240331,0.16666666666666666,77,A-极高
002622.SZ,20220331,0.16666666666666666,78,A-极高
002742.SZ,20221231,0.16666666666666666,79,A-极高
002742.SZ,20230331,0.16666666666666666,80,A-极高
002742.SZ,20230630,0.16666666666666666,81,A-极高
002770.SZ,20210630,0.16666666666666666,82,A-极高
002770.SZ,20220331,0.16666666666666666,83,A-极高
002781.SZ,20211231,0.16666666666666666,84,A-极高
002781.SZ,20220331,0.16666666666666666,85,A-极高
002808.SZ,20231231,0.16666666666666666,86,A-极高
600198.SH,20220331,0.16666666666666666,87,A-极高
600209.SH,20211231,0.16666666666666666,88,A-极高
600209.SH,20220331,0.16666666666666666,89,A-极高
600257.SH,20210331,0.16666666666666666,90,A-极高
600303.SH,20220630,0.16666666666666666,91,A-极高
600303.SH,20230331,0.16666666666666666,92,A-极高
600781.SH,20211231,0.16666666666666666,93,A-极高
603665.SH,20210930,0.16666666666666666,94,A-极高
834021.BJ,20230331,0.16666666666666666,95,A-极高
835305.BJ,20230331,0.16666666666666666,96,A-极高
835305.BJ,20230930,0.16666666666666666,97,A-极高
000638.SZ,20220930,0.14285714285714285,98,A-极高
000669.SZ,20210331,0.14285714285714285,99,A-极高
000671.SZ,20211231,0.14285714285714285,100,A-极高
000796.SZ,20221231,0.14285714285714285,101,A-极高
000889.SZ,20230331,0.14285714285714285,102,A-极高
000908.SZ,20210331,0.14285714285714285,103,A-极高
000980.SZ,20220331,0.14285714285714285,104,A-极高
000980.SZ,20220930,0.14285714285714285,105,A-极高
000980.SZ,20240331,0.14285714285714285,106,A-极高
002121.SZ,20210630,0.14285714285714285,107,A-极高
002159.SZ,20230630,0.14285714285714285,108,A-极高
002316.SZ,20220930,0.14285714285714285,109,A-极高
002329.SZ,20220331,0.14285714285714285,110,A-极高
002471.SZ,20230331,0.14285714285714285,111,A-极高
002520.SZ,20230930,0.14285714285714285,112,A-极高
002528.SZ,20240930,0.14285714285714285,113,A-极高
002586.SZ,20211231,0.14285714285714285,114,A-极高
002742.SZ,20240331,0.14285714285714285,115,A-极高
002808.SZ,20240331,0.14285714285714285,116,A-极高
600303.SH,20221231,0.14285714285714285,117,A-极高
600396.SH,20231231,0.14285714285714285,118,A-极高
600781.SH,20221231,0.14285714285714285,119,A-极高
600866.SH,20220331,0.14285714285714285,120,A-极高
603131.SH,20211231,0.14285714285714285,121,A-极高
603306.SH,20210930,0.14285714285714285,122,A-极高
834021.BJ,20221231,0.14285714285714285,123,A-极高
834021.BJ,20240331,0.14285714285714285,124,A-极高
002175.SZ,20210331,0.12998099514441552,125,A-极高
000005.SZ,20210331,0.12903225806451613,126,A-极高
000005.SZ,20220930,0.12903225806451613,127,A-极高
000005.SZ,20230331,0.12903225806451613,128,A-极高
000038.SZ,20220331,0.12903225806451613,129,A-极高
000038.SZ,20220930,0.12903225806451613,130,A-极高
000040.SZ,20210331,0.12903225806451613,131,A-极高
000040.SZ,20210630,0.12903225806451613,132,A-极高
000040.SZ,20211231,0.12903225806451613,133,A-极高
000040.SZ,20220331,0.12903225806451613,134,A-极高
000151.SZ,20210331,0.12903225806451613,135,A-极高
000409.SZ,20211231,0.12903225806451613,136,A-极高
000409.SZ,20230331,0.12903225806451613,137,A-极高
000410.SZ,20210331,0.12903225806451613,138,A-极高
000410.SZ,20220630,0.12903225806451613,139,A-极高
000410.SZ,20221231,0.12903225806451613,140,A-极高
000502.SZ,20210630,0.12903225806451613,141,A-极高
000510.SZ,20220331,0.12903225806451613,142,A-极高
000536.SZ,20210331,0.12903225806451613,143,A-极高
